69.69.69.0:0,1663996048,0
69.69.69.1:10,1663996051,1
69.69.69.2:20,1663996045,2
69.69.69.3:30,1663996045,3
69.69.69.4:40,1663996051,4
69.69.69.5:50,1663996052,5
69.69.69.6:60,1663996051,6
69.69.69.7:70,1663996047,7
69.69.69.8:80,1663996048,8
69.69.69.9:90,1663996044,9
69.69.69.10:100,1663996046,0
69.69.69.11:110,1663996044,1
69.69.69.12:120,1663996050,2
69.69.69.13:130,1663996052,3
69.69.69.14:140,1663996052,4
69.69.69.15:150,1663996054,5
69.69.69.16:160,1663996046,6
69.69.69.17:170,1663996052,7
69.69.69.18:180,1663996050,8
69.69.69.19:190,1663996044,9
69.69.69.20:200,1663996053,0
69.69.69.21:210,1663996045,1
69.69.69.22:220,1663996054,2
69.69.69.23:230,1663996046,3
69.69.69.24:240,1663996048,4
69.69.69.25:250,1663996048,5
69.69.69.26:260,1663996048,6
69.69.69.27:270,1663996044,7
69.69.69.28:280,1663996051,8
69.69.69.29:290,1663996049,9
69.69.69.30:300,1663996053,0
69.69.69.31:310,1663996049,1
69.69.69.32:320,1663996044,2
69.69.69.33:330,1663996046,3
69.69.69.34:340,1663996048,4
69.69.69.35:350,1663996054,5
69.69.69.36:360,1663996044,6
69.69.69.37:370,1663996044,7
69.69.69.38:380,1663996053,8
69.69.69.39:390,1663996052,9
69.69.69.40:400,1663996052,0
69.69.69.41:410,1663996045,1
69.69.69.42:420,1663996053,2
69.69.69.43:430,1663996045,3
69.69.69.44:440,1663996047,4
69.69.69.45:450,1663996048,5
69.69.69.46:460,1663996045,6
69.69.69.47:470,1663996048,7
69.69.69.48:480,1663996044,8
69.69.69.49:490,1663996044,9
69.69.69.50:500,1663996054,0
69.69.69.51:510,1663996046,1
69.69.69.52:520,1663996047,2
69.69.69.53:530,1663996046,3
69.69.69.54:540,1663996051,4
69.69.69.55:550,1663996053,5
69.69.69.56:560,1663996047,6
69.69.69.57:570,1663996044,7
69.69.69.58:580,1663996052,8
69.69.69.59:590,1663996051,9
69.69.69.60:600,1663996049,0
69.69.69.61:610,1663996053,1
69.69.69.62:620,1663996052,2
69.69.69.63:630,1663996044,3
69.69.69.64:640,1663996044,4
69.69.69.65:650,1663996054,5
69.69.69.66:660,1663996054,6
69.69.69.67:670,1663996051,7
69.69.69.68:680,1663996053,8
69.69.69.69:690,1663996052,9
69.69.69.70:700,1663996045,0
69.69.69.71:710,1663996045,1
69.69.69.72:720,1663996047,2
69.69.69.73:730,1663996044,3
69.69.69.74:740,1663996052,4
69.69.69.75:750,1663996048,5
69.69.69.76:760,1663996054,6
69.69.69.77:770,1663996047,7
69.69.69.78:780,1663996048,8
69.69.69.79:790,1663996052,9
69.69.69.80:800,1663996049,0
69.69.69.81:810,1663996044,1
69.69.69.82:820,1663996053,2
69.69.69.83:830,1663996046,3
69.69.69.84:840,1663996045,4
69.69.69.85:850,1663996046,5
69.69.69.86:860,1663996054,6
69.69.69.87:870,1663996046,7
69.69.69.88:880,1663996053,8
69.69.69.89:890,1663996045,9
69.69.69.90:900,1663996052,0
69.69.69.91:910,1663996053,1
69.69.69.92:920,1663996047,2
69.69.69.93:930,1663996047,3
69.69.69.94:940,1663996051,4
69.69.69.95:950,1663996045,5
69.69.69.96:960,1663996049,6
69.69.69.97:970,1663996051,7
69.69.69.98:980,1663996045,8
69.69.69.99:990,1663996044,9
69.69.69.100:1000,1663996053,0
69.69.69.101:1010,1663996050,1
69.69.69.102:1020,1663996053,2
69.69.69.103:1030,1663996051,3
69.69.69.104:1040,1663996048,4
69.69.69.105:1050,1663996048,5
69.69.69.106:1060,1663996047,6
69.69.69.107:1070,1663996045,7
69.69.69.108:1080,1663996052,8
69.69.69.109:1090,1663996049,9
69.69.69.110:1100,1663996045,0
69.69.69.111:1110,1663996051,1
69.69.69.112:1120,1663996049,2
69.69.69.113:1130,1663996051,3
69.69.69.114:1140,1663996054,4
69.69.69.115:1150,1663996048,5
69.69.69.116:1160,1663996050,6
69.69.69.117:1170,1663996054,7
69.69.69.118:1180,1663996045,8
69.69.69.119:1190,1663996054,9
69.69.69.120:1200,1663996047,0
69.69.69.121:1210,1663996050,1
69.69.69.122:1220,1663996051,2
69.69.69.123:1230,1663996047,3
69.69.69.124:1240,1663996051,4
69.69.69.125:1250,1663996054,5
69.69.69.126:1260,1663996047,6
69.69.69.127:1270,1663996050,7
69.69.69.128:1280,1663996050,8
69.69.69.129:1290,1663996048,9
69.69.69.130:1300,1663996053,0
69.69.69.131:1310,1663996051,1
69.69.69.132:1320,1663996052,2
69.69.69.133:1330,1663996047,3
69.69.69.134:1340,1663996048,4
69.69.69.135:1350,1663996047,5
69.69.69.136:1360,1663996051,6
69.69.69.137:1370,1663996046,7
69.69.69.138:1380,1663996049,8
69.69.69.139:1390,1663996046,9
69.69.69.140:1400,1663996051,0
69.69.69.141:1410,1663996050,1
69.69.69.142:1420,1663996047,2
69.69.69.143:1430,1663996051,3
69.69.69.144:1440,1663996050,4
69.69.69.145:1450,1663996053,5
69.69.69.146:1460,1663996048,6
69.69.69.147:1470,1663996046,7
69.69.69.148:1480,1663996044,8
69.69.69.149:1490,1663996052,9
69.69.69.150:1500,1663996052,0
69.69.69.151:1510,1663996052,1
69.69.69.152:1520,1663996051,2
69.69.69.153:1530,1663996052,3
69.69.69.154:1540,1663996054,4
69.69.69.155:1550,1663996054,5
69.69.69.156:1560,1663996050,6
69.69.69.157:1570,1663996053,7
69.69.69.158:1580,1663996052,8
69.69.69.159:1590,1663996052,9
69.69.69.160:1600,1663996050,0
69.69.69.161:1610,1663996049,1
69.69.69.162:1620,1663996052,2
